model,date,mean,lower,upper,ci_level,forecast_date
arima,2021-07-02,4411.462497022599,1267.2944292014045,11454.629013332951,95,2021-07-01
arima,2021-07-03,4407.212987907573,982.6244966758685,13266.240062366498,95,2021-07-01
arima,2021-07-04,4968.063593829546,885.6450591724813,16918.427322409072,95,2021-07-01
arima,2021-07-05,6226.782463681324,906.2580463483292,23609.154680665913,95,2021-07-01
arima,2021-07-06,6549.174338840699,790.3944436976253,27335.183106733628,95,2021-07-01
arima,2021-07-07,6773.078423983289,686.3185302013126,30855.84696952587,95,2021-07-01
arima,2021-07-08,7236.699882491568,562.0447089122457,37550.79578136975,95,2021-07-01
arima,2021-07-09,7532.818275356189,466.9260459385254,43555.727714172855,95,2021-07-01
arima,2021-07-10,7748.561962169631,388.97081424712576,49516.48160672581,95,2021-07-01
arima,2021-07-11,8377.14180468538,344.7958973974196,58782.68923130951,95,2021-07-01
arima,2021-07-12,9645.062534628403,328.9745929749796,73926.62498252626,95,2021-07-01
arima,2021-07-13,10109.756829122618,288.27339411791263,84273.93548856072,95,2021-07-01
arima,2021-07-14,10567.999519115165,253.92311649852866,95456.93421088812,95,2021-07-01
arima,2021-07-15,2391.1931602179156,940.8399572227363,5088.534987535458,95,2021-07-15
arima,2021-07-16,2415.9453277262064,705.475426574518,6210.490840058979,95,2021-07-15
arima,2021-07-17,2332.623170905329,530.3793391697241,6942.14479989348,95,2021-07-15
arima,2021-07-18,2460.8059007927286,448.6423981460394,8276.200818662837,95,2021-07-15
arima,2021-07-19,2883.615043518947,430.3404171114133,10786.965626781399,95,2021-07-15
arima,2021-07-20,2946.427322016798,365.4464884545438,12122.246797841675,95,2021-07-15
arima,2021-07-21,2981.1701082289883,311.08699202429545,13375.870713006461,95,2021-07-15
arima,2021-07-22,3156.5925377427843,253.02342122624412,16117.190854935543,95,2021-07-15
arima,2021-07-23,3259.473035698983,208.9070790886349,18528.82618520277,95,2021-07-15
arima,2021-07-24,3269.918671076095,169.98052701385745,20526.049577838232,95,2021-07-15
arima,2021-07-25,3462.389921472677,147.7893933042764,23844.954316563064,95,2021-07-15
arima,2021-07-26,3868.727919486916,137.04895387846156,29077.63483121605,95,2021-07-15
arima,2021-07-27,4008.1598560237835,118.83353590629467,32736.205674450994,95,2021-07-15
arima,2021-07-28,4112.707855633533,102.83567127170403,36367.50549134096,95,2021-07-15
arima,2021-08-01,872.2238819679349,347.8040468750947,1839.0185956091416,95,2021-08-01
arima,2021-08-02,1042.9476591092332,310.1081360147318,2650.5563530155423,95,2021-08-01
arima,2021-08-03,1072.2883764615065,249.19264115396905,3149.932192854755,95,2021-08-01
arima,2021-08-04,1107.4489789976235,207.00600527571692,3671.508945748235,95,2021-08-01
